# k, delta_cdm, delta_b, delta_g, delta_nu, delta_num, delta_tot, delta_nonu, delta_tot_nodm, phi, v_cdm, v_b, v_b_cdm
4.80022229e-03 5.34012803e+02 5.33793274e+02 -2.64320881e-01 -2.69206730e-01 0.00000000e+00 5.33819057e+02 5.34088264e+02 5.33819057e+02 1.25183828e-05 2.42229409e+02 2.42129830e+02 9.95789853e-02
4.88542431e-03 5.32122786e+02 5.31897939e+02 -2.54290743e-01 -2.58990981e-01 0.00000000e+00 5.31928765e+02 5.32187756e+02 5.31928765e+02 1.24740536e-05 2.41372093e+02 2.41270102e+02 1.01991088e-01
4.97068865e-03 5.30237295e+02 5.30007050e+02 -2.44775065e-01 -2.49299346e-01 0.00000000e+00 5.30042984e+02 5.30292284e+02 5.30042984e+02 1.24298303e-05 2.40516830e+02 2.40412390e+02 1.04439692e-01
5.05601266e-03 5.28355511e+02 5.28119791e+02 -2.35747502e-01 -2.40104851e-01 0.00000000e+00 5.28160898e+02 5.28401003e+02 5.28160898e+02 1.23856936e-05 2.39663249e+02 2.39556325e+02 1.06923339e-01
5.14139386e-03 5.26485272e+02 5.26243988e+02 -2.27121375e-01 -2.31320172e-01 0.00000000e+00 5.26290338e+02 5.26521658e+02 5.26290338e+02 1.23418273e-05 2.38814904e+02 2.38705457e+02 1.09446716e-01
5.22682994e-03 5.24611714e+02 5.24364782e+02 -2.18975764e-01 -2.23023954e-01 0.00000000e+00 5.24416447e+02 5.24639471e+02 5.24416447e+02 1.22978829e-05 2.37965054e+02 2.37853045e+02 1.12008967e-01
5.31231873e-03 5.22741867e+02 5.22489208e+02 -2.11232476e-01 -2.15137454e-01 0.00000000e+00 5.22546254e+02 5.22761392e+02 5.22546254e+02 1.22540252e-05 2.37116887e+02 2.37002280e+02 1.14606882e-01
5.39785821e-03 5.20876674e+02 5.20618203e+02 -2.03860035e-01 -2.07628725e-01 0.00000000e+00 5.20680700e+02 5.20888329e+02 5.20680700e+02 1.22102764e-05 2.36270831e+02 2.36153588e+02 1.17242954e-01
5.48344648e-03 5.19015832e+02 5.18751472e+02 -1.96838757e-01 -2.00477661e-01 0.00000000e+00 5.18819483e+02 5.19019960e+02 5.18819483e+02 1.21666293e-05 2.35426749e+02 2.35306835e+02 1.19914203e-01
5.56908179e-03 5.17158922e+02 5.16888598e+02 -1.90150311e-01 -1.93665539e-01 0.00000000e+00 5.16962185e+02 5.17155850e+02 5.16962185e+02 1.21230741e-05 2.34584451e+02 2.34461831e+02 1.22619592e-01
5.65476246e-03 5.15306864e+02 5.15030512e+02 -1.83769967e-01 -1.87167257e-01 0.00000000e+00 5.15109727e+02 5.15296894e+02 5.15109727e+02 1.20796324e-05 2.33744353e+02 2.33618999e+02 1.25353880e-01
5.74048696e-03 5.13459123e+02 5.13176679e+02 -1.77682105e-01 -1.80966857e-01 0.00000000e+00 5.13261575e+02 5.13442542e+02 5.13261575e+02 1.20362917e-05 2.32906213e+02 2.32778096e+02 1.28117358e-01
5.82625382e-03 5.11615951e+02 5.11327357e+02 -1.71869796e-01 -1.75047097e-01 0.00000000e+00 5.11417981e+02 5.11593028e+02 5.11417981e+02 1.19930580e-05 2.32070147e+02 2.31939240e+02 1.30906887e-01
5.91206169e-03 5.09777294e+02 5.09482489e+02 -1.66316962e-01 -1.69391605e-01 0.00000000e+00 5.09578891e+02 5.09748283e+02 5.09578891e+02 1.19499299e-05 2.31236128e+02 2.31102404e+02 1.33724169e-01
5.99790928e-03 5.07943063e+02 5.07641996e+02 -1.61009753e-01 -1.63986259e-01 0.00000000e+00 5.07744218e+02 5.07908204e+02 5.07744218e+02 1.19069053e-05 2.30404116e+02 2.30267552e+02 1.36564828e-01
6.08379540e-03 5.06113525e+02 5.05806138e+02 -1.55933070e-01 -1.58815704e-01 0.00000000e+00 5.05914227e+02 5.06073042e+02 5.05914227e+02 1.18639906e-05 2.29574234e+02 2.29434802e+02 1.39431517e-01
6.16971894e-03 5.04288918e+02 5.03975153e+02 -1.51073237e-01 -1.53866028e-01 0.00000000e+00 5.04089156e+02 5.04243022e+02 5.04089156e+02 1.18211913e-05 2.28746588e+02 2.28604263e+02 1.42324757e-01
6.25567883e-03 5.02469007e+02 5.02148803e+02 -1.46419917e-01 -1.49126673e-01 0.00000000e+00 5.02268770e+02 5.02417897e+02 5.02268770e+02 1.17785019e-05 2.27921072e+02 2.27775827e+02 1.45245259e-01
6.34167411e-03 5.00653992e+02 5.00327284e+02 -1.41960689e-01 -1.44585013e-01 0.00000000e+00 5.00453269e+02 5.00597854e+02 5.00453269e+02 1.17359270e-05 2.27097777e+02 2.26949582e+02 1.48195874e-01
6.42770383e-03 4.98843830e+02 4.98510562e+02 -1.37686345e-01 -1.40231647e-01 0.00000000e+00 4.98642610e+02 4.98782841e+02 4.98642610e+02 1.16934657e-05 2.26276684e+02 2.26125513e+02 1.51170987e-01
6.51376715e-03 4.97038343e+02 4.96698446e+02 -1.33586945e-01 -1.36056456e-01 0.00000000e+00 4.96836613e+02 4.96972670e+02 4.96836613e+02 1.16511137e-05 2.25457711e+02 2.25303533e+02 1.54177686e-01
6.59986325e-03 4.95237904e+02 4.94891319e+02 -1.29652391e-01 -1.32049171e-01 0.00000000e+00 4.95035655e+02 4.95167704e+02 4.95035655e+02 1.16088799e-05 2.24641028e+02 2.24483816e+02 1.57211751e-01
6.68599138e-03 4.93442289e+02 4.93088951e+02 -1.25874947e-01 -1.28201900e-01 0.00000000e+00 4.93239508e+02 4.93367710e+02 4.93239508e+02 1.15667590e-05 2.23826533e+02 2.23666258e+02 1.60274883e-01
